date	ouv	haut	bas	clot	vol	devise	
22/01/2021 00:00	339.1	341.84	337.215	339.7	0	USD	
25/01/2021 00:00	340.74	346.89	337.9	343.41	0	USD	
26/01/2021 00:00	330.79	343.885	330.77	330.79	0	USD	
27/01/2021 00:00	331.745	335.73	329.674	333.79	0	USD	
28/01/2021 00:00	332.05	334.664	327.178	327.86	108761	USD	
29/01/2021 00:00	327.15	328.98	321.73	321.74	0	USD	
01/02/2021 00:00	324.56	325.65	319.81	324.08	0	USD	
02/02/2021 00:00	327.45	335.2	326.72	332.845	0	USD	
03/02/2021 00:00	332.11	333.4	328.3	332.32	0	USD	
04/02/2021 00:00	333.62	338.42	332.38	337.01	0	USD	
05/02/2021 00:00	339.67	341.335	336.5	337.09	0	USD	
08/02/2021 00:00	339.5	339.5	335.2	338.03	0	USD	
09/02/2021 00:00	338.05	344.49	336.57	342.12	0	USD	
10/02/2021 00:00	343.22	343.74	339.15	342.07	0	USD	
11/02/2021 00:00	341.15	344.53	338.1	338.93	0	USD	
12/02/2021 00:00	338.25	340.645	336.56	337.58	0	USD	
16/02/2021 00:00	339.45	339.91	333.817	334.74	0	USD	
17/02/2021 00:00	335.11	339.27	332.83	336.83	0	USD	
18/02/2021 00:00	336.23	339.55	335.28	337.86	0	USD	
19/02/2021 00:00	339.11	339.11	335.27	335.66	0	USD	
22/02/2021 00:00	333.8	343.53	333.27	340.34	0	USD	
23/02/2021 00:00	343.5	347.47	338.33	346.43	0	USD	
24/02/2021 00:00	347.6	350.29	344.695	346.72	0	USD	
25/02/2021 00:00	345.57	349.1	341.06	341.55	0	USD	
26/02/2021 00:00	338.5	338.76	330	330.35	0	USD	
01/03/2021 00:00	333.78	337.7	332.82	333.69	0	USD	
02/03/2021 00:00	333.48	340	332.681	338.31	0	USD	
03/03/2021 00:00	339.59	346.331	338.6	342.33	0	USD	
04/03/2021 00:00	340.97	344.35	334.15	338.11	0	USD	
05/03/2021 00:00	339.48	341.17	335.26	340.45	0	USD	
08/03/2021 00:00	342.37	346.06	338.44	341.27	0	USD	
09/03/2021 00:00	341.29	342.85	337.27	337.86	0	USD	
10/03/2021 00:00	339.3	343.19	335.695	341.11	0	USD	
11/03/2021 00:00	341.22	343.573	338.51	339.95	0	USD	
12/03/2021 00:00	340.41	343.65	338.62	340.03	0	USD	
15/03/2021 00:00	344.08	346.635	342.61	346.15	0	USD	
16/03/2021 00:00	346.83	349	342.3	346.88	0	USD	
17/03/2021 00:00	347.53	355.55	347.21	351.07	0	USD	
18/03/2021 00:00	353.79	359	352.543	358.19	0	USD	
19/03/2021 00:00	359.43	359.43	350.125	353.9	0	USD	
22/03/2021 00:00	353.57	358.34	352.12	357.24	260942	USD	
23/03/2021 00:00	357.25	359.245	352.781	353.96	0	USD	
24/03/2021 00:00	355.21	362.68	355.21	355.69	0	USD	
25/03/2021 00:00	354.79	361.77	354.615	361.14	0	USD	
